"","Community","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","count_311","count_crime"
"49","Downtown Los Angeles",4,1,14,24,53,34,252,28,106,582,1,3,12,15,16,175,167,19.088,27.122,33.517,297.986,321.563,0.614,0.326,0.508,0.997,0.937,1.817,1.125,1.779,3.759,3.446,17.27,25.997,31.74,294.229,318.114,1.455,0,49,133,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284.276,149,0,0,149,1433.276,1686,250
"50","Duarte",3,5,0,25,48,32,30,0,0,9,1,6,0,4,4,0,1,0,7.232,8.379,0,1.926,0,0.087,0.127,0,0.006,0,0.3,0.445,0,0.021,0,6.932,7.935,0,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.537,0,0,0,0,32.537,0,0
"51","Eagle Rock",4,1,14,24,51,34,4,6,0,24,0,0,18,20,50,25,14,28.634,36.161,104.742,42.57,26.96,0.92,0.434,1.585,0.142,0.08,2.723,1.5,5.559,0.537,0.29,25.904,34.662,99.185,42.033,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.067,0,0,0,0,263.067,341,18
"52","East Los Angeles",7,1,0,24,51,40,31,9,0,68,0,0,21,61,76,15,37,33.407,110.295,159.211,25.543,71.249,1.073,1.324,2.406,0.084,0.209,3.177,4.575,8.448,0.321,0.765,30.221,105.72,150.759,25.221,70.484,0,0,37,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.705,106,0,0,106,573.705,0,0
"53","East Pasadena",3,5,0,22,41,27,0,0,0,2,0,0,0,4,0,0,4,0,7.232,0,0,7.702,0,0.087,0,0,0.022,0,0.3,0,0,0.083,0,6.933,0,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.934,0,0,0,0,16.934,0,0
"54","East San Gabriel",3,5,0,22,49,27,0,0,0,5,0,0,1,2,0,0,1,1.591,3.616,0,0,1.926,0.051,0.043,0,0,0.006,0.151,0.15,0,0,0.021,1.439,3.466,0,0,1.905,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.133,13,0,0,13,25.133,0,0
"55","Echo Park",4,1,13,24,51,28,33,2,46,79,0,0,13,29,40,44,25,20.68,52.434,83.796,74.922,48.14,0.665,0.63,1.266,0.252,0.142,1.967,2.175,4.448,0.942,0.517,18.709,50.26,79.347,73.976,47.622,0,0,0,0,0,0,0,0,264,33,105,0,6,17,0,0,0,0,0,0,0,0,358.972,0,386,0,386,744.972,388,37
"56","El Monte",3,1,0,22,49,32,16,0,0,94,0,0,29,11,12,4,23,46.131,19.889,25.139,6.812,44.289,1.483,0.24,0.38,0.023,0.13,4.389,0.825,1.333,0.085,0.476,41.735,19.064,23.804,6.725,43.813,0,8,85,242,0,0,0,0,17,0,0,6,0,0,0,0,0,0,0,0,0,0,236.26,250,23,0,273,509.26,0,0
"57","El Segundo",8,4,0,26,62,33,0,0,0,1,0,0,2,5,5,1,0,3.181,9.04,10.474,1.703,0,0.102,0.109,0.158,0.006,0,0.303,0.375,0.556,0.021,0,2.878,8.666,9.918,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.398,0,0,0,0,25.398,0,0
"58","El Sereno",4,1,14,24,51,34,10,2,0,21,0,0,15,4,46,1,6,23.862,7.232,96.364,1.703,11.555,0.768,0.088,1.458,0.006,0.035,2.27,0.3,5.114,0.021,0.125,21.588,6.932,91.25,1.681,11.43,0,0,24,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.716,69,0,0,69,230.716,190,15
"59","Elysian Valley",4,1,13,24,51,28,0,0,0,7,0,0,6,2,5,0,2,9.544,3.616,10.474,0,3.851,0.307,0.044,0.159,0,0.011,0.909,0.15,0.556,0,0.041,8.635,3.466,9.919,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.485,0,0,0,0,34.485,22,1
"60","Encino",2,3,5,27,45,30,0,0,0,10,0,0,2,1,4,1,5,3.181,1.808,8.38,1.703,9.629,0.102,0.022,0.127,0.006,0.029,0.303,0.075,0.444,0.021,0.104,2.878,1.733,7.935,1.681,9.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.701,0,0,0,0,34.701,183,10
"61","Florence-Graham",7,2,0,33,59,40,61,2,0,98,1,2,45,43,86,2,28,71.581,77.749,180.159,3.406,53.916,2.302,0.933,2.723,0.011,0.156,6.812,3.225,9.561,0.043,0.578,64.762,74.524,170.597,3.363,53.338,0,0,21,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.811,60,0,0,60,546.811,4,0
"62","Foothill Trails",2,5,7,25,39,28,25,0,0,40,0,0,5,3,11,1,24,7.953,5.424,23.044,1.703,46.213,0.256,0.065,0.348,0.006,0.134,0.757,0.225,1.223,0.021,0.496,7.196,5.199,21.82,1.681,45.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.337,0,0,0,0,124.337,162,8
"63","Gardena",8,2,0,35,62,43,26,0,0,22,0,0,5,8,11,0,2,7.953,14.465,23.044,0,3.852,0.256,0.174,0.349,0,0.012,0.757,0.6,1.223,0,0.042,7.196,13.865,21.821,0,3.81,0,161,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,71.314,161,5,0,166,237.314,0,0
"64","Glassell Park",4,1,14,24,51,34,0,0,0,2,0,0,1,8,34,1,5,1.591,14.465,71.225,1.703,9.628,0.051,0.174,1.076,0.006,0.028,0.151,0.6,3.78,0.021,0.104,1.439,13.865,67.447,1.681,9.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.612,0,0,0,0,100.612,23,4
"65","Glendora",3,5,0,25,48,27,1,1,624,8,0,0,3,0,3,0,3,4.772,0,6.285,0,5.777,0.154,0,0.095,0,0.017,0.454,0,0.334,0,0.062,4.318,0,5.951,0,5.715,0,190,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.834,201,0,0,201,225.834,0,0
